Date,p_AAN ,p_IBN ,p_MSFT ,p_SBUX ,p_WMT 
1/3/2000,4.9815,,58.2813,3.082,66.8125
1/4/2000,4.9074,,56.3125,2.9844,64.3125
1/5/2000,4.9074,,56.9063,3.0234,63
1/6/2000,4.8148,,55,3.1328,63.6875
1/7/2000,4.7037,,55.7188,3.1172,68.5
1/10/2000,4.6296,,56.125,3.25,67.25
1/11/2000,4.6111,,54.6875,3.1563,66.25
1/12/2000,4.5741,,52.9063,3.1641,65.0625
1/13/2000,4.7407,,53.9063,3.3906,65.125
1/14/2000,4.5926,,56.125,3.3047,64.5
1/18/2000,4.4815,,57.6563,3.2578,65.5625
1/19/2000,4.8148,,53.5,3.1875,64.0625
1/20/2000,4.6481,,53,3.1328,63.375
1/21/2000,4.6111,,51.875,3.1211,62.4375
1/24/2000,4.5926,,50.625,3.0703,59.375
1/25/2000,4.537,,51.4063,3.25,61.125
1/26/2000,4.8148,,49.6875,3.625,61.9375
1/27/2000,4.8519,,49.375,3.6094,59.125
1/28/2000,4.5556,,49.125,3.7266,55.125
1/31/2000,4.4444,,48.9375,4,54.75
2/1/2000,4.4259,,51.4688,4.0391,58.6875
2/2/2000,4.4259,,50.4063,3.9766,58.375
2/3/2000,4.7407,,51.8125,3.9297,58.375
2/4/2000,4.7222,,53.2813,4.2969,56.3125
2/7/2000,4.463,,53.3125,4.2813,55.75
2/8/2000,4.4815,,54.9688,4.375,59.5
2/9/2000,4.4444,,52,4.3125,57.8125
2/10/2000,4.5556,,53,4,57
2/11/2000,4.5926,,49.9688,4.1094,56.0625
2/14/2000,5.2407,,49.8125,4.2422,58.875
2/15/2000,4.8704,,49.2813,4.3281,58
2/16/2000,4.6852,,48.8125,4.2734,52.75
2/17/2000,4.963,,49.8125,4.3281,48.375
2/18/2000,4.8519,,47.5313,4.1406,47.75
2/22/2000,4.7593,,46.9063,4.1484,48.125
2/23/2000,4.5926,,47.125,4.3594,47
2/24/2000,4.5185,,47.375,4.3828,47.875
2/25/2000,4.463,,45.6563,4.2188,44.5
2/28/2000,4.4444,,45.7813,4.2578,46.1875
2/29/2000,4.4444,,44.6875,4.3906,48.75
3/1/2000,4.4259,,45.4063,4.3438,49
3/2/2000,4.4074,,46.6875,4.1563,50.5625
3/3/2000,4.4259,,48.0625,4.6484,52.625
3/6/2000,4.3889,,45.3125,4.4844,50.5
3/7/2000,4.2778,,46.4375,4.2656,47.5625
3/8/2000,4.2778,,47.7813,4.2344,48.3125
3/9/2000,4.3148,,50,4.5156,48.9375
3/10/2000,4.2963,,50.5,4.4531,47.9375
3/13/2000,4.1667,,49,4.3438,47.6875
