Date,s_Aus,s_ch_Aus,r_Aus,r_US
3/31/1970,0.89,0,,1.76758021
6/30/1970,0.89,0,,1.646392754
9/30/1970,0.89,0,,1.555813602
12/31/1970,0.89,0,,1.3138783
3/31/1971,0.89,0,,0.953767932
6/30/1971,0.89,0,,1.036280276
9/30/1971,0.89,-3.370786517,,1.239272151
12/31/1971,0.86,-2.325581395,,1.041127652
3/31/1972,0.84,0,,0.849123487
6/30/1972,0.84,0,,0.924597565
9/30/1972,0.84,0,,1.043551078
12/31/1972,0.84,-11.9047619,,1.191051479
3/31/1973,0.74,-4.054054054,,1.381123125
6/30/1973,0.71,-1.408450704,,1.613049665
9/30/1973,0.7,-4.285714286,,2.03456189
12/31/1973,0.67,0,,1.817355334
3/31/1974,0.67,0,,1.848131961
6/30/1974,0.67,1.492537313,,2.006309205
9/30/1974,0.68,11.76470588,,2.011019616
12/31/1974,0.76,-2.631578947,,1.786550773
3/31/1975,0.74,1.351351351,,1.438655233
6/30/1975,0.75,4,,1.323492904
9/30/1975,0.78,1.282051282,,1.548652286
12/31/1975,0.79,1.265822785,,1.390718612
3/31/1976,0.8,1.25,,1.21517043
6/30/1976,0.81,0,,1.268171514
9/30/1976,0.81,6.172839506,,1.268171514
12/31/1976,0.86,6.976744186,,1.154840684
3/31/1977,0.92,-2.173913043,,1.135512348
6/30/1977,0.9,0,,1.186225619
9/30/1977,0.9,-1.111111111,,1.340311876
12/31/1977,0.89,-1.123595506,,1.500871418
3/31/1978,0.88,0,,1.565359668
6/30/1978,0.88,-1.136363636,,1.582058808
9/30/1978,0.87,0,,1.781809127
12/31/1978,0.87,1.149425287,,2.10274249
3/31/1979,0.88,2.272727273,,2.262080802
6/30/1979,0.9,-1.111111111,,2.264418461
9/30/1979,0.89,2.247191011,,2.325141417
12/31/1979,0.91,0,,2.827777912
3/31/1980,0.91,-2.197802198,,3.207366103
6/30/1980,0.89,-3.370786517,,2.423004581
9/30/1980,0.86,-1.162790698,,2.234016376
12/31/1980,0.85,1.176470588,,3.264171473
3/31/1981,0.86,1.162790698,3.013522902,3.413688907
6/30/1981,0.87,0,3.202817619,3.517515776
9/30/1981,0.87,1.149425287,3.298209749,3.57606261
12/31/1981,0.88,4.545454545,3.125401221,2.878326742
3/31/1982,0.92,3.260869565,3.878471149,3.077497972
6/30/1982,0.95,7.368421053,3.902995767,2.95630141
9/30/1982,1.02,2.941176471,3.227826841,2.343803672
12/31/1982,1.05,0.952380952,2.880622647,1.928493038
3/31/1983,1.06,7.547169811,3.186893189,1.961527719
6/30/1983,1.14,0,2.694154277,2.041621395
9/30/1983,1.14,-3.50877193,2.490413405,2.222316041
12/31/1983,1.1,-1.818181818,2.250390099,2.128568404
3/31/1984,1.08,2.777777778,2.634084328,2.208270333
6/30/1984,1.11,7.207207207,2.784062033,2.37410808
9/30/1984,1.19,-0.840336134,2.418350788,2.490413405
12/31/1984,1.18,13.55932203,2.719536784,2.170786777
3/31/1985,1.34,11.94029851,3.198268534,1.985104275
6/30/1985,1.5,-4.666666667,3.440804328,1.829195801
9/30/1985,1.43,2.097902098,3.713034126,1.729607226
12/31/1985,1.46,-2.054794521,4.240117156,1.741478352
3/31/1986,1.43,-2.097902098,3.956443827,1.679703062
6/30/1986,1.4,15,3.02724188,1.498480602
9/30/1986,1.61,-4.347826087,3.905224416,1.354721476
12/31/1986,1.54,-3.246753247,3.674916281,1.309069972
3/31/1987,1.49,-6.040268456,3.811497394,1.354721476
6/30/1987,1.4,0,3.120841882,1.402709142
